alloy_id,reference_id,TME,Ti,Nb,Mo,Zr,Sn,Ta,DEF,TEMP,TIME
563,143,63,70.6,20.9,0,3.4,0,5.1,0,0,0
564,143,59.5,74.8,22.5,0,2,0,0.7,0,0,0
565,143,64.9,67.53,27.61,0,4.86,0,0,0,0,0
566,143,62.2,69.71,23.72,0,4.83,0,1.74,0,0,0
567,143,48.5,78.41,15.13,0,2.57,3.89,0,0,0,0
570,146,40,74.37,23.61,0,0,2.02,0,65,0,0
571,146,48,74.85,23.14,0,0,2.01,0,65,0,0
572,147,39.59,74.75,19.58,0,3.99,0,1.68,85,0,0
578,150,95.34,81.64,0,0,18.36,0,0,0,0,0
579,150,86.92,80.25,0,1.17,18.58,0,0,0,0,0
580,150,74.89,78.09,0,3,18.91,0,0,0,0,0
581,150,63.76,77.35,0,3.62,19.03,0,0,0,0,0
582,150,66.77,76.61,0,4.25,19.14,0,0,0,0,0
583,150,68.57,75.86,0,4.88,19.26,0,0,0,0,0
584,151,71,72.26,21.32,0,0,0,6.42,50,0,0
585,151,68,71.7,21.89,0,0,0,6.41,50,0,0
586,151,60,72.93,21.04,0,0,0,6.03,50,0,0
587,152,49,80,20,0,0,0,0,90,850,1
588,152,45,70,30,0,0,0,0,90,850,1
589,153,65,62.7,24.58,4.08,6.44,2.2,0,0,0,0
590,153,70,70.02,23.38,1.94,2.04,2.62,0,0,0,0
591,153,85,67.44,23.85,3.96,2.08,2.67,0,0,0,0
592,153,70,60.73,24.89,6.2,6.51,1.67,0,0,0,0
593,153,55,68.16,23.64,1.96,4.13,2.11,0,0,0,0
594,154,54,62.7,24.58,4.08,6.44,2.2,0,0,0,0
599,159,78.9,91.91,0,8.09,0,0,0,0,900,1
600,159,75.9,91.32,0,8.68,0,0,0,0,900,1
601,159,73.6,90.73,0,9.27,0,0,0,0,900,1
602,159,75.3,90.13,0,9.87,0,0,0,0,900,1
614,163,59,78.09,0,3,18.91,0,0,10,0,0
615,163,61,77.35,0,3.62,19.03,0,0,10,0,0
616,163,66,76.61,0,4.25,19.14,0,0,10,0,0
619,166,64,82.08,17.92,0,0,0,0,80,1000,1
620,166,64,80.67,19.33,0,0,0,0,80,1000,1
621,166,64,79.22,20.78,0,0,0,0,80,1000,1
622,166,61,77.75,22.25,0,0,0,0,80,1000,1
623,166,62,76.23,23.77,0,0,0,0,80,1000,1
624,166,63,74.68,25.32,0,0,0,0,80,1000,1
625,166,68,73.1,26.9,0,0,0,0,80,1000,1
633,170,60,79.24,19.79,0,0,0.97,0,0,950,0.5
